site_name,model_name,lookback,look_forward,batch_size,learning_rate,hidden_size,num_layers,epochs,dropout,mse,mae,r2,train_time
Wind farm site 1 (Nominal capacity-99MW),LSTM,24,1,64,0.001,64,2,30,0.2,13.964255332946777,2.159074544906616,0.9786655306816101,69.25831818580627
Wind farm site 1 (Nominal capacity-99MW),CNN,24,1,64,0.001,64,2,30,0.2,15.356624603271484,2.3445026874542236,0.9765383005142212,52.97480058670044
Wind farm site 1 (Nominal capacity-99MW),CNN_LSTM,24,1,64,0.001,64,2,30,0.2,16.126890182495117,2.440981388092041,0.9753615260124207,79.33201384544373
Wind farm site 2 (Nominal capacity-200MW),LSTM,24,1,64,0.001,64,2,30,0.2,48.212486267089844,4.081181049346924,0.9851350784301758,69.45519661903381
Wind farm site 2 (Nominal capacity-200MW),CNN,24,1,64,0.001,64,2,30,0.2,52.39407730102539,4.404444217681885,0.9838458299636841,52.91047477722168
Wind farm site 2 (Nominal capacity-200MW),CNN_LSTM,24,1,64,0.001,64,2,30,0.2,55.80711364746094,4.624515533447266,0.9827935099601746,79.7992570400238
Wind farm site 3 (Nominal capacity-99MW),LSTM,24,1,64,0.001,64,2,30,0.2,8.269620895385742,1.7332996129989624,0.9773499369621277,68.69451785087585
Wind farm site 3 (Nominal capacity-99MW),CNN,24,1,64,0.001,64,2,30,0.2,8.80870532989502,1.842892050743103,0.9758734107017517,52.707419872283936
Wind farm site 3 (Nominal capacity-99MW),CNN_LSTM,24,1,64,0.001,64,2,30,0.2,8.62309455871582,1.760384440422058,0.976381778717041,79.29589343070984
Wind farm site 4 (Nominal capacity-66MW),LSTM,24,1,64,0.001,64,2,30,0.2,3.4595935344696045,1.1807265281677246,0.9921116828918457,68.97163033485413
Wind farm site 4 (Nominal capacity-66MW),CNN,24,1,64,0.001,64,2,30,0.2,3.6894009113311768,1.269783616065979,0.9915876984596252,53.25915598869324
Wind farm site 4 (Nominal capacity-66MW),CNN_LSTM,24,1,64,0.001,64,2,30,0.2,3.80912184715271,1.196739673614502,0.991314709186554,80.46085047721863
Wind farm site 5 (Nominal capacity-36MW),LSTM,24,1,64,0.001,64,2,30,0.2,1.0645860433578491,0.5941945314407349,0.9820226430892944,69.2239134311676
Wind farm site 5 (Nominal capacity-36MW),CNN,24,1,64,0.001,64,2,30,0.2,1.2399486303329468,0.7709823250770569,0.9790613055229187,54.11989712715149
Wind farm site 5 (Nominal capacity-36MW),CNN_LSTM,24,1,64,0.001,64,2,30,0.2,1.0628970861434937,0.5553446412086487,0.9820511341094971,80.21666312217712
Wind farm site 6 (Nominal capacity-96MW),LSTM,24,1,64,0.001,64,2,30,0.2,10.651411056518555,2.1918725967407227,0.9891941547393799,69.47781372070312
Wind farm site 6 (Nominal capacity-96MW),CNN,24,1,64,0.001,64,2,30,0.2,10.231081008911133,2.155954360961914,0.989620566368103,52.7218234539032
Wind farm site 6 (Nominal capacity-96MW),CNN_LSTM,24,1,64,0.001,64,2,30,0.2,13.121145248413086,2.4709033966064453,0.9866886138916016,81.10157012939453
