horizon_step,mse,mae,r2
1,67.34278869628906,6.558102130889893,-0.13623130321502686
2,71.01078796386719,6.766591548919678,-0.19810223579406738
3,66.38162231445312,6.588018417358398,-0.11996400356292725
4,68.8939208984375,6.71405029296875,-0.1623138189315796
5,68.7040786743164,6.59295654296875,-0.15910398960113525
6,71.65792846679688,6.829586505889893,-0.20893967151641846
7,69.516357421875,6.7584943771362305,-0.1728135347366333
8,69.39781951904297,6.594355583190918,-0.17082548141479492
9,71.2000961303711,6.720977306365967,-0.2012484073638916
10,72.80821228027344,6.7097649574279785,-0.22841227054595947
11,71.89502716064453,6.75575590133667,-0.2130364179611206
12,68.86715698242188,6.639989852905273,-0.16196393966674805
