horizon_step,mse,mae,r2
1,3.7384536266326904,1.397289514541626,0.9369235038757324
2,4.915989398956299,1.571390986442566,0.9170568585395813
3,6.522831439971924,1.8571813106536865,0.8899494409561157
4,8.018655776977539,2.064661979675293,0.8647167682647705
5,9.00196647644043,2.1626458168029785,0.8481281399726868
6,10.863120079040527,2.3855419158935547,0.8167284727096558
7,11.89391803741455,2.5023372173309326,0.7993372082710266
8,12.890848159790039,2.6072113513946533,0.7825157642364502
9,14.45151138305664,2.8047287464141846,0.7561821341514587
10,15.911123275756836,2.9567601680755615,0.7315492630004883
11,17.49149513244629,3.087094306945801,0.7048777937889099
12,18.437076568603516,3.189323902130127,0.6889196634292603
