site_name,model_name,lookback,look_forward,batch_size,learning_rate,hidden_size,num_layers,epochs,dropout,mse,mae,r2,train_time
Wind farm site 1 (Nominal capacity-99MW),LSTM,96,12,64,0.001,128,4,10,0.4,149.10003662109375,7.638037204742432,0.7723489999771118,35.52118515968323
Wind farm site 1 (Nominal capacity-99MW),CNN,96,12,64,0.001,128,4,10,0.4,175.78787231445312,9.370656967163086,0.7316011190414429,20.254067182540894
Wind farm site 1 (Nominal capacity-99MW),CNN_LSTM,96,12,64,0.001,128,4,10,0.4,145.05789184570312,7.433757305145264,0.7785207033157349,39.173075437545776
Wind farm site 2 (Nominal capacity-200MW),LSTM,96,12,64,0.001,128,4,10,0.4,695.7764282226562,18.29753875732422,0.7853670120239258,35.52463388442993
Wind farm site 2 (Nominal capacity-200MW),CNN,96,12,64,0.001,128,4,10,0.4,772.3404541015625,20.13774299621582,0.7617485523223877,19.634210348129272
Wind farm site 2 (Nominal capacity-200MW),CNN_LSTM,96,12,64,0.001,128,4,10,0.4,733.1399536132812,18.168739318847656,0.7738410830497742,39.53407263755798
Wind farm site 3 (Nominal capacity-99MW),LSTM,96,12,64,0.001,128,4,10,0.4,73.49508666992188,5.866142272949219,0.7982295155525208,35.538875341415405
Wind farm site 3 (Nominal capacity-99MW),CNN,96,12,64,0.001,128,4,10,0.4,118.33479309082031,8.188608169555664,0.6751283407211304,20.12594723701477
Wind farm site 3 (Nominal capacity-99MW),CNN_LSTM,96,12,64,0.001,128,4,10,0.4,70.10208129882812,5.586295127868652,0.8075445294380188,39.548054933547974
Wind farm site 4 (Nominal capacity-66MW),LSTM,96,12,64,0.001,128,4,10,0.4,38.77747344970703,3.982283592224121,0.9116050601005554,35.73816418647766
Wind farm site 4 (Nominal capacity-66MW),CNN,96,12,64,0.001,128,4,10,0.4,72.21051788330078,5.806816101074219,0.835392951965332,20.352596759796143
Wind farm site 4 (Nominal capacity-66MW),CNN_LSTM,96,12,64,0.001,128,4,10,0.4,43.77009582519531,4.013865947723389,0.9002241492271423,40.021920919418335
Wind farm site 5 (Nominal capacity-36MW),LSTM,96,12,64,0.001,128,4,10,0.4,18.27116584777832,2.9639031887054443,0.6917356848716736,35.46680569648743
Wind farm site 5 (Nominal capacity-36MW),CNN,96,12,64,0.001,128,4,10,0.4,69.80632019042969,6.685719966888428,-0.17774629592895508,19.60769748687744
Wind farm site 5 (Nominal capacity-36MW),CNN_LSTM,96,12,64,0.001,128,4,10,0.4,11.178081512451172,2.3821804523468018,0.8114075660705566,38.90983271598816
Wind farm site 6 (Nominal capacity-96MW),LSTM,96,12,64,0.001,128,4,10,0.4,84.55768585205078,6.115708827972412,0.9142347574234009,35.53186774253845
Wind farm site 6 (Nominal capacity-96MW),CNN,96,12,64,0.001,128,4,10,0.4,174.3647918701172,9.459217071533203,0.8231450915336609,19.636769771575928
Wind farm site 6 (Nominal capacity-96MW),CNN_LSTM,96,12,64,0.001,128,4,10,0.4,94.79621887207031,6.485916614532471,0.9038500189781189,39.371938943862915
